cosecha_id,finca_id,cultivo_id,fecha,calidad,kg,fecha_entrega
1,1,1,2026-03-20,primera,4200,2026-03-22
2,1,1,2026-04-18,segunda,3100,2026-04-20
3,1,1,2026-03-22,primera,5400,2026-03-24
4,1,2,2026-04-22,primera,1500,2026-04-24
5,2,2,2026-04-05,primera,2600,2026-04-07
6,2,2,2026-04-26,segunda,1850,2026-04-28
7,2,5,2026-04-30,primera,9800,2026-05-12
8,3,3,2026-03-28,primera,1200,2026-04-24
9,3,3,2026-04-22,primera,900,2026-05-19
10,3,3,2025-01-24,primera,2000,2025-02-20
11,1,1,2025-02-17,primera,3800,2025-02-19
12,1,1,2025-03-14,primera,4900,2025-03-16
13,2,2,2025-03-27,segunda,3300,2025-03-29
14,1,1,2025-04-09,primera,3600,2025-04-11
15,2,5,2025-04-28,primera,5900,2025-05-10
16,2,2,2025-05-16,primera,2750,2025-05-18
17,3,3,2025-05-30,segunda,1450,2025-06-26
18,1,1,2025-06-21,primera,3100,2025-06-23
19,2,5,2025-07-08,primera,1850,2025-07-20
20,3,3,2025-07-25,primera,1000,2025-08-21
21,1,1,2025-08-19,primera,5600,2025-08-21
22,2,2,2025-09-11,segunda,1800,2025-09-13
23,3,3,2025-10-23,primera,3150,2025-11-19
24,2,5,2025-11-14,primera,1600,2025-11-26
25,3,3,2025-12-05,primera,1200,2026-01-01
